127.0.0.1 - - [24/Apr/2024:10:14:35 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.llp.mod1.page.GuidelinePage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.llp.mod1.page.GuidelinePage?2 HTTP/1.1" 200 19022
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/alertify/alertify.css HTTP/1.1" 200 25599
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/js/ssmScript.js?version=16 HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/semantic/components/form.js?version=4 HTTP/1.1" 200 52054
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/alertify/semantic.css HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/semantic/components/form.min.css HTTP/1.1" 200 21560
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/css/animate.css HTTP/1.1" 200 72259
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/images/profile.gif HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/alertify/alertify.min.js HTTP/1.1" 200 35852
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/noty-master/js/noty/packaged/jquery.noty.packaged.min.js HTTP/1.1" 200 32688
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:03 +0800] "GET /EComtracWeb/wicket/page?2-IResourceListener-banner HTTP/1.1" 200 200014
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:07 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.ezbiz.comtrac.SelectComtracTraining HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:07 +0800] "GET /EComtracWeb/wicket/bookmarkable/com.ssm.ezbiz.comtrac.SelectComtracTraining?3 HTTP/1.1" 200 17016
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:07 +0800] "GET /EComtracWeb/wicket/page?3-IResourceListener-banner HTTP/1.1" 200 200014
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:14 +0800] "POST /EComtracWeb/wicket/page?3-1.IBehaviorListener.0-selectComtracTrainingForm-robTrainings HTTP/1.1" 200 9020
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:14 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.extensions.ajax.markup.html.modal.ModalWindow/res/modal-ver-1713924410889.js HTTP/1.1" 200 46030
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:14 +0800] "GET /EComtracWeb/wicket/resource/org.apache.wicket.extensions.ajax.markup.html.modal.ModalWindow/res/modal-ver-1713924410889.css HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:19 +0800] "GET /EComtracWeb/wicket/page?3-1.IBehaviorListener.0-selectComtracTrainingForm-trainingInfo-seatWmc&_=1713924908000 HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [24/Apr/2024:10:15:24 +0800] "GET /EComtracWeb/wicket/page?3-1.IBehaviorListener.0-selectComtracTrainingForm-trainingInfo-seatWmc&_=1713924908001 HTTP/1.1" 200 2781
